unique_id,program_code,starname,ra,dec,exptime,n_exp,n_inter_max,tau_inter,n_intra_max,n_intra_min,tau_intra,weather_band,gaia_id,teff,jmag,gmag,pmra,pmdec,epoch
688e3aad4b1fc31164fb8e9f,2025B_E473,138776,233.5700711943333,-2.724717765638889,600,1,50,1,1,1,0.0,,DR3_4402244244636634240,0,7.5,9.389569,-95.184,-145.583,2016.0
688e3aad4b1fc31164fb8e9e,2025B_E473,138549,233.4721675302083,-31.019209202919445,600,1,50,1,1,1,0.0,,DR3_6208649077782080000,0,6.7,9.389569,-190.839,-35.957,2016.0
688e3aad4b1fc31164fb8e9d,2025B_E473,137778,232.05125070541663,-9.359447686861111,600,1,50,1,1,1,0.0,,DR3_6317854118838346752,0,6.0,9.389569,82.532,-356.698,2016.0
688e3aad4b1fc31164fb8e9c,2025B_E473,136925,230.71571225924998,13.366307985119445,600,1,50,1,1,1,0.0,,DR3_1170797781264303616,0,6.8,9.389569,-270.922,-27.002,2016.0
688e3aad4b1fc31164fb8e9b,2025B_E473,136834,230.67565800199998,1.4170074528805556,600,1,50,1,1,1,0.0,,DR3_4420712604009198080,0,6.6,9.389569,-364.212,-364.113,2016.0
688e3aad4b1fc31164fb8e9a,2025B_E473,136713,230.6526362442083,-10.66203222725,600,1,50,1,1,1,0.0,,DR3_6316161317608434944,0,6.3,9.389569,-57.386,-203.772,2016.0
688e3aad4b1fc31164fb8e99,2025B_E473,136442,230.1947603385833,-2.4141009213499998,600,1,50,1,1,1,0.0,,DR3_4414849698772235136,0,4.9,9.389569,-260.819,-172.203,2016.0
688e3aad4b1fc31164fb8e98,2025B_E473,13612B,33.195967700249994,-2.396631030711111,600,1,50,1,1,1,0.0,,DR3_2494066897240089984,0,6.5,9.389569,366.258,-67.275,2016.0
688e3aad4b1fc31164fb8ea5,2025B_E473,13997,34.11659104145833,12.3787925475,600,1,50,1,1,1,0.0,,DR3_73781873084091264,0,6.7,9.389569,227.772,-219.107,2016.0
688e3aad4b1fc31164fb8e97,2025B_E473,135101A,228.17836398724995,19.287343971200002,600,1,50,1,1,1,0.0,,DR3_1212385193677160832,0,5.4,9.389569,-595.904,293.484,2016.0
688e3aad4b1fc31164fb8e95,2025B_E473,1326,4.613226257541665,44.02478674398889,600,1,50,1,1,1,0.0,,DR3_385334230892516480,0,5.2,9.389569,2891.518,411.832,2016.0
688e3aad4b1fc31164fb8e94,2025B_E473,132505,224.74233484099997,17.32666556496111,600,1,50,1,1,1,0.0,,DR3_1188411442144592896,0,6.7,9.389569,-34.112,-69.759,2016.0
688e3aad4b1fc31164fb8e93,2025B_E473,132142,223.78872913141663,53.682471693680554,600,1,50,1,1,1,0.0,,DR3_1606148310770764288,0,6.3,9.389569,-971.031,478.163,2016.0
688e3aad4b1fc31164fb8e92,2025B_E473,131509,223.29918437887497,28.50865786215,600,1,50,1,1,1,0.0,,DR3_1281454212031460992,0,6.3,9.389569,-93.768,86.701,2016.0
688e3aad4b1fc31164fb8e91,2025B_E473,131117,223.1361909055,-30.5774447501,600,1,50,1,1,1,0.0,,DR3_6217883669787280384,0,5.2,9.389569,-335.287,-42.456,2016.0
688e3aad4b1fc31164fb8e90,2025B_E473,130992,222.91399838620828,-24.30605070905,600,1,50,1,1,1,0.0,,DR3_6229442835525861120,0,6.0,9.389569,-944.623,-431.624,2016.0
688e3aad4b1fc31164fb8e8f,2025B_E473,13043,31.891693575916662,-0.6189509702611111,600,1,50,1,1,1,0.0,,DR3_2506906787870475904,0,5.8,9.389569,-249.688,-344.629,2016.0
688e3aad4b1fc31164fb8e8e,2025B_E473,130322,221.88577938787498,-0.2820977030888889,600,1,50,1,1,1,0.0,,DR3_3650718804281798912,0,6.7,9.389569,-130.476,-140.246,2016.0
688e3aad4b1fc31164fb8e8d,2025B_E473,130307,221.81581090074997,2.702875923,600,1,50,1,1,1,0.0,,DR3_3655492127855307136,0,6.2,9.389569,-287.136,-78.612,2016.0
688e3aad4b1fc31164fb8e8c,2025B_E473,130004,221.34970154758332,13.8453122003,600,1,50,1,1,1,0.0,,DR3_1185619988280226944,0,6.2,9.389569,-231.639,-225.646,2016.0
688e3aad4b1fc31164fb8e8b,2025B_E473,129814,221.0484446140416,18.46138384606111,600,1,50,1,1,1,0.0,,DR3_1237374997031931392,0,6.3,9.389569,-59.034,-165.142,2016.0
688e3aad4b1fc31164fb8e8a,2025B_E473,129010,220.23244238216662,-26.42867441653056,600,1,50,1,1,1,0.0,,DR3_6223555466154957568,0,6.4,9.389569,-38.894,6.997,2016.0
688e3aad4b1fc31164fb8e89,2025B_E473,12846,31.62604445875,24.3333354586,600,1,50,1,1,1,0.0,,DR3_104453918172129792,0,5.7,9.389569,6.063,-147.727,2016.0
688e3aad4b1fc31164fb8e96,2025B_E473,134987,228.36747824875,-25.3096826363,600,1,50,1,1,1,0.0,,DR3_6226694571859532800,0,5.3,9.389569,-400.147,-75.253,2016.0
688e3aad4b1fc31164fb8ea6,2025B_E473,140538A,236.00738859966663,2.5145586194,250,1,50,1,1,1,0.0,,DR3_4423865487962417024,0,4.6,9.389569,-42.431,-136.845,2016.0
688e3aad4b1fc31164fb8ea7,2025B_E473,141004,236.60988904591665,7.352758689330555,150,1,50,1,1,1,0.0,,DR3_4430238051199001216,0,3.4,9.389569,-223.952,-69.763,2016.0
688e3aad4b1fc31164fb8ea8,2025B_E473,141272,237.038647301,1.5710024915305556,600,1,50,1,1,1,0.0,,DR3_4422809716282811776,0,6.0,9.389569,-176.036,-166.105,2016.0
688e3aae4b1fc31164fb8ec5,2025B_E473,151995,252.52180057245832,18.900096271069444,600,1,50,1,1,1,0.0,,DR3_4559848344443069952,0,7.0,9.389569,-46.930,-71.976,2016.0
688e3aae4b1fc31164fb8ec4,2025B_E473,151877,252.14764251466664,37.01174750573889,600,1,50,1,1,1,0.0,,DR3_1351435653238542976,0,6.9,9.389569,-59.858,-364.499,2016.0
688e3aae4b1fc31164fb8ec3,2025B_E473,151541,250.65736356629162,68.10405649315,600,1,50,1,1,1,0.0,,DR3_1648568843759668480,0,6.1,9.389569,-282.977,425.740,2016.0
688e3aae4b1fc31164fb8ec2,2025B_E473,151288,251.27624770079166,33.510924834030554,600,1,50,1,1,1,0.0,,DR3_1314438839310796800,0,5.5,9.389569,-39.939,382.224,2016.0
688e3aae4b1fc31164fb8ec1,2025B_E473,150698,250.96421346658332,-26.809395351150002,600,1,50,1,1,1,0.0,,DR3_6034115964943993472,0,5.6,9.389569,-19.379,-101.667,2016.0
688e3aae4b1fc31164fb8ec0,2025B_E473,150437,250.5306469275833,-29.12543236186111,600,1,50,1,1,1,0.0,,DR3_6032076237756291840,0,6.7,9.389569,37.893,-99.001,2016.0
688e3aad4b1fc31164fb8ebf,2025B_E473,150433,250.28410897054164,-2.8592548529805555,600,1,50,1,1,1,0.0,,DR3_4354950641755249024,0,6.0,9.389569,-26.659,-444.740,2016.0
688e3aad4b1fc31164fb8ebe,2025B_E473,149806,249.28553165095832,0.25469026973888886,600,1,50,1,1,1,0.0,,DR3_4383374219923745024,0,5.7,9.389569,93.385,78.717,2016.0
688e3aad4b1fc31164fb8ebd,2025B_E473,149724,249.20221661991664,-6.294311092930555,600,1,50,1,1,1,0.0,,DR3_4351579573463528576,0,6.6,9.389569,-22.781,-1.855,2016.0
688e3aad4b1fc31164fb8ebc,2025B_E473,149661,249.091402300875,-2.325961281519444,250,1,50,1,1,1,0.0,,DR3_4358031335898505472,0,4.3,9.389569,456.058,-309.224,2016.0
688e3aad4b1fc31164fb8ebb,2025B_E473,148467,246.98599858554164,7.304267325480556,600,1,50,1,1,1,0.0,,DR3_4439625337884136064,0,6.6,9.389569,-248.797,-264.661,2016.0
688e3aad4b1fc31164fb8eba,2025B_E473,147379A,244.1723899324583,67.2392157683389,600,1,50,1,1,1,0.0,,DR3_1642641410934267008,0,5.8,9.389569,-497.915,84.047,2016.0
688e3aad4b1fc31164fb8eb9,2025B_E473,147231,243.70930279258332,70.92838910388056,600,1,50,1,1,1,0.0,,DR3_1653185486926274048,0,6.6,9.389569,-5.095,-287.402,2016.0
688e3aad4b1fc31164fb8eb8,2025B_E473,146775,244.78539840254163,-28.29502191013889,600,1,50,1,1,1,0.0,,DR3_6039200454610268800,0,6.5,9.389569,51.613,-255.689,2016.0
688e3aad4b1fc31164fb8eb7,2025B_E473,146233,243.90633606004164,-8.37164116155,250,1,50,1,1,1,0.0,,DR3_4345775217221821312,0,4.7,9.389569,232.230,-495.378,2016.0
688e3aad4b1fc31164fb8eb6,2025B_E473,1461,4.676323038583333,-8.05364062583889,600,1,50,1,1,1,0.0,,DR3_2430102808294101760,0,5.3,9.389569,417.579,-143.900,2016.0
688e3aad4b1fc31164fb8eb5,2025B_E473,145958B,243.3276402530416,13.526167955850001,600,1,50,1,1,1,0.0,,DR3_4464207428577214464,0,5.6,9.389569,194.154,-422.438,2016.0
688e3aad4b1fc31164fb8eb4,2025B_E473,145934,243.29122625491658,13.239452483161111,600,1,50,1,1,1,0.0,,DR3_4463442512084825728,0,6.8,9.389569,9.192,-1.468,2016.0
688e3aad4b1fc31164fb8eb3,2025B_E473,145809,243.41750928991658,-21.39992517631111,600,1,50,1,1,1,0.0,,DR3_6243032008973309440,0,5.5,9.389569,-123.032,8.041,2016.0
688e3aad4b1fc31164fb8eb2,2025B_E473,145675,242.60212681174997,43.816320837269444,600,1,50,1,1,1,0.0,,DR3_1385293808145621504,0,5.2,9.389569,131.745,-297.025,2016.0
688e3aad4b1fc31164fb8eb1,2025B_E473,144585,241.76284165874995,-14.07125450941111,600,1,50,1,1,1,0.0,,DR3_4341501106288171008,0,5.2,9.389569,-261.591,9.683,2016.0
688e3aad4b1fc31164fb8eb0,2025B_E473,144579,241.2333680567083,39.15674357701111,600,1,50,1,1,1,0.0,,DR3_1379500756257031808,0,5.2,9.389569,-570.872,52.633,2016.0
688e3aad4b1fc31164fb8eaf,2025B_E473,144287,241.01274892599997,25.25785541421111,600,1,50,1,1,1,0.0,,DR3_1219254942328596736,0,5.6,9.389569,-495.683,689.516,2016.0
688e3aad4b1fc31164fb8eae,2025B_E473,14412,34.74269374762499,-25.94371112925,600,1,50,1,1,1,0.0,,DR3_5117974602912370432,0,5.1,9.389569,-217.734,444.609,2016.0
688e3aad4b1fc31164fb8ead,2025B_E473,143761,240.26003097649993,33.300078768999995,250,1,50,1,1,1,0.0,,DR3_1323427759184545536,0,4.1,9.389569,-198.278,-772.245,2016.0
688e3aad4b1fc31164fb8eac,2025B_E473,143291,239.62954815316664,27.741293107,600,1,50,1,1,1,0.0,,DR3_1316590033811497088,0,6.5,9.389569,-776.369,293.557,2016.0
688e3aad4b1fc31164fb8eab,2025B_E473,142267,238.29971733595832,13.19413183605,600,1,50,1,1,1,0.0,,DR3_1191518146611956096,0,5.1,9.389569,-150.618,-561.240,2016.0
688e3aad4b1fc31164fb8eaa,2025B_E473,142229,238.3332232554583,4.253290749211111,600,1,50,1,1,1,0.0,,DR3_4426054581256895104,0,7.0,9.389569,-34.257,9.110,2016.0
688e3aad4b1fc31164fb8ea9,2025B_E473,141399,236.72351718225,46.98628884236111,600,1,50,1,1,1,0.0,,DR3_1398218223733415552,0,5.9,9.389569,-108.119,6.040,2016.0
688e3aad4b1fc31164fb8e88,2025B_E473,128311,219.00325809670832,9.74540201716111,600,1,50,1,1,1,0.0,,DR3_1176209886733406592,0,5.8,9.389569,204.813,-250.457,2016.0
688e3aae4b1fc31164fb8ec6,2025B_E473,152391,253.24184678516667,-0.033016536711111114,600,1,50,1,1,1,0.0,,DR3_4381250547575102208,0,5.2,9.389569,-711.832,-1483.821,2016.0
688e3aad4b1fc31164fb8e87,2025B_E473,128165,218.36887174999998,52.90989294556111,600,1,50,1,1,1,0.0,,DR3_1605198298364601088,0,5.4,9.389569,-191.457,247.919,2016.0
688e3aad4b1fc31164fb8e85,2025B_E473,126614,216.70049623083332,-5.1784295682,600,1,50,1,1,1,0.0,,DR3_3641697998570813952,0,7.5,9.389569,-149.760,-145.837,2016.0
688e3aad4b1fc31164fb8e63,2025B_E473,110315,190.27751558279166,15.375020276180557,600,1,50,1,1,1,0.0,,DR3_3934198156329809152,0,5.8,9.389569,107.249,-370.333,2016.0
688e3aad4b1fc31164fb8e62,2025B_E473,11020,26.90950919983333,-26.75124707743889,600,1,50,1,1,1,0.0,,DR3_5025366311917644416,0,7.6,9.389569,-82.651,-275.381,2016.0
688e3aad4b1fc31164fb8e61,2025B_E473,109358,188.43142838333333,41.358776694080554,150,1,50,1,1,1,0.0,,DR3_1534011998572555776,0,3.2,9.389569,-704.702,292.155,2016.0
688e3aad4b1fc31164fb8e60,2025B_E473,108874,187.61262215291666,22.879427476038888,600,1,50,1,1,1,0.0,,DR3_3958951942642583936,0,7.5,9.389569,127.469,-89.912,2016.0
688e3aad4b1fc31164fb8e5f,2025B_E473,10853,26.661465062541662,12.411440860819445,600,1,50,1,1,1,0.0,,DR3_2575383100738086656,0,6.9,9.389569,31.282,-74.827,2016.0
688e3aad4b1fc31164fb8e5e,2025B_E473,10790,27.487677416791662,76.99248184358056,600,1,50,1,1,1,0.0,,DR3_560384934529559808,0,6.5,9.389569,99.208,37.521,2016.0
688e3aad4b1fc31164fb8e5d,2025B_E473,10780,26.94267663258333,63.85140778825,250,1,50,1,1,1,0.0,,DR3_512167948043650816,0,4.3,9.389569,581.684,-246.462,2016.0
688e3aad4b1fc31164fb8e5c,2025B_E473,107148,184.80596966962497,-3.3199992438305554,600,1,50,1,1,1,0.0,,DR3_3693358861640279296,0,6.9,9.389569,-54.565,-47.376,2016.0
688e3aad4b1fc31164fb8e5b,2025B_E473,10700,26.009055057166666,-15.933680200688888,100,1,50,1,1,1,0.0,,DR3_2452378776434477184,0,2.1,9.389569,-1721.728,854.963,2016.0
688e3aad4b1fc31164fb8e5a,2025B_E473,10697,26.232401137416666,20.08268276456111,600,1,50,1,1,1,0.0,,DR3_95652018353917056,0,5.4,9.389569,-43.357,-104.936,2016.0
688e3aad4b1fc31164fb8e59,2025B_E473,106156,183.2406677910833,10.03612341238889,600,1,50,1,1,1,0.0,,DR3_3906347595518413568,0,6.6,9.389569,210.912,-358.255,2016.0
688e3aad4b1fc31164fb8e58,2025B_E473,106116,183.11747653599994,-3.0826149521805557,600,1,50,1,1,1,0.0,,DR3_3598278250031419008,0,6.2,9.389569,-606.781,418.509,2016.0
688e3aad4b1fc31164fb8e57,2025B_E473,105631,182.40340511908332,40.251830217019446,600,1,50,1,1,1,0.0,,DR3_1536064958579187840,0,6.0,9.389569,-314.106,-50.842,2016.0
688e3aad4b1fc31164fb8e64,2025B_E473,110537,190.74621063495832,-4.05013081095,600,1,50,1,1,1,0.0,,DR3_3681795018676501120,0,6.6,9.389569,-219.316,-179.612,2016.0
688e3aad4b1fc31164fb8e56,2025B_E473,105618,182.40211396766665,11.211569277730554,600,1,50,1,1,1,0.0,,DR3_3906803888551408000,0,7.4,9.389569,-104.350,-2.024,2016.0
688e3aad4b1fc31164fb8e54,2025B_E473,104556,180.61837050541664,43.081812472200006,600,1,50,1,1,1,0.0,,DR3_1537769304681442176,0,5.1,9.389569,-347.257,-510.709,2016.0
688e3aad4b1fc31164fb8e53,2025B_E473,104304,180.18562930616665,-10.448272003980556,250,1,50,1,1,1,0.0,,DR3_3575733210781078016,0,4.3,9.389569,83.793,-482.006,2016.0
688e3aad4b1fc31164fb8e52,2025B_E473,104067,179.79237526687496,-20.355664599100002,600,1,50,1,1,1,0.0,,DR3_3494677900774838144,0,6.2,9.389569,141.706,-423.780,2016.0
688e3aad4b1fc31164fb8e51,2025B_E473,103932,179.47876692479164,-27.709806064888888,600,1,50,1,1,1,0.0,,DR3_3487062064765702272,0,5.0,9.389569,-1080.901,-620.929,2016.0
688e3aad4b1fc31164fb8e50,2025B_E473,103432,178.6314923067083,19.41115461275,600,1,50,1,1,1,0.0,,DR3_3975129194660883328,0,7.0,9.389569,-450.598,-16.568,2016.0
