ticid,observe_kpf,observe_neid,toi,tess_mag,num_pc,ra,dec,epoch,period,planet_radius,planet_insolation,planet_eqtemp,stellar_distance,stellar_teff,stellar_logg,stellar_radius,mass,mh,v_mag,vsini,t_sec_kpf,observed_in_2025b,observed_in_2026a,observed_in_2027a,observed_in_2027b
117689799,True,False,3504.01,11.6006,1,300.735006,24.435135,2459771.875,2.157046174,14.59492431,1041.32495,1448.82629,299.999,5863.0,4.42,1.045349956,1.06,,11.6,3.892871732,138,,,,
258234731,True,False,6106.01,11.646,1,127.019217,-24.166962,2459964.625,6.424094404,14.83622611,212.2599833,973.5018496,294.59,5618.0,4.39959,1.040060043,0.99,,12.0,2.927859625,141,,,,
229285649,True,False,2591.01,10.7669,1,98.024193,11.852283,2459544.882,8.493027,20.982,246.718,1104.0,316.228,6287.0,4.23,1.41,1.23,,10.99,7.102947849,141,,,,
439366538,True,False,2374.01,11.2057,1,319.498241,-22.049823,2458326.555,4.31362,8.01917,54.2011,755.0,134.655,4929.5,0.1,0.8,0.773,,12.09279868,3.408672021,141,,,,
37291237,True,False,5057.01,11.0837,1,254.842052,-35.388933,2459385.83,1.1437772,12.9975,548.925,1348.0,347.227,4520.0,,2.85,,,12.20216819,3.334526749,142,,,,
150761163,True,False,4124.01,11.436,1,279.258065,14.206599,2459762.989,3.4138019,22.5559,309.683,1168.0,512.0308,5150.0,,2.24,,,12.05,3.501488915,143,,,,
387259626,True,False,1455.01,10.1543,1,308.670288,66.440384,2460388.285,3.6231429,18.4111,485.19,1307.0,245.692,6458.8,4.32,1.35,1.378,,10.54,9.342870431,144,,,,
452508760,True,False,5938.01,11.3519,1,303.908842,28.659226,2459820.183,2.260431,3.92152,249.273,1106.0,114.035,4452.0,4.54,0.74,0.698,,12.5155739,1.477615538,148,,,,
408114363,True,False,2450.01,11.4894,1,77.952525,6.795745,2459179.177,17.88324141,6.417116403,27.12795111,582.0683673,188.967,5426.0,4.63305,0.776644,0.945,,12.17798651,2.430280733,150,,,,
281100535,True,False,5687.01,11.536,1,228.974876,10.461265,2459716.985,2.924439,8.56554,81.7751,837.0,153.891,4803.0,4.56,0.77,0.776,-0.14,12.48743451,1.646028561,156,,,,
88902249,True,False,2336.01,10.1757,1,230.230416,-33.69246,2459359.048,7.7119328,10.9933,305.979,1165.0,297.716,6458.0,4.03,1.83,1.31,,10.76,9.330654555,164,,,,
