ticid,observe_kpf,observe_neid,toi,tess_mag,num_pc,ra,dec,epoch,period,planet_radius,planet_insolation,planet_eqtemp,stellar_distance,stellar_teff,stellar_logg,stellar_radius,mass,mh,v_mag,vsini,t_sec_kpf
156172268,True,False,2834.01,11.288,1,124.385982,-28.046133,2459245.467,4.6391531,13.8244,411.734,1254.0,317.232,5928.2,4.56,1.15,1.156,,12.06999969,4.234819753,188
467580267,True,False,3668.01,11.2959,1,48.218476,35.093455,2459908.643,0.7415247,13.5277,2304.37,1930.0,647.3,5921.0,3.6,2.73,1.08,,11.93999958,5.045042809,188
308504559,True,False,5831.01,10.9653,1,285.940869,-0.427822,2459786.127,3.7846792,12.2675,501.062,1318.0,324.532,6360.0,4.16,1.55,1.265,,11.23099995,7.966307032,190
141205978,True,False,3862.01,11.7201,1,185.900563,50.544625,2459662.739,1.5574603,6.15317,358.839,1212.0,249.02,5564.4,4.46,0.93,0.92,,12.45800018,2.770240567,191
233953967,True,False,1350.01,10.3589,1,305.395161,56.462656,2459851.288,5.5402372,17.4013,2282.41,1925.0,598.635,6415.0,3.49,3.39,1.291,,11.02999973,10.0,192
255928426,True,False,5686.01,12.012,1,247.460912,37.69456,2459738.846,4.2366102,15.6978,351.913,1206.0,394.427,5407.5,4.19,1.28,0.94,0.407276,12.64999962,2.391241499,195
76706043,True,False,6612.01,11.7332,1,229.294897,-33.969293,2460092.287,2.3207203,14.0426,135.481,950.0,180.958,4390.0,4.12,1.2,0.69,,13.11200047,1.4578778,198
409009431,True,False,4726.01,12.1022,1,92.729819,-13.166915,2459223.153,4.2971136,14.1426,166.22,1000.0,250.87,5203.0,4.53,0.85,0.88,,12.88300037,2.039904643,199
397763985,True,False,5765.01,11.5437,1,6.844544,70.805696,2459908.636,3.8779743,9.43,549.351,1348.0,371.785,5798.0,4.06,1.57,1.041,,12.36699963,3.59163615,218
399868187,True,False,2473.01,10.5347,1,74.374979,10.416737,2459199.203,1.2311781,17.567,27258.8,3579.0,284.183,6589.1,4.21,1.53,1.373,-0.097,11.07999992,10.0,225
63718617,True,False,6334.01,11.4808,1,33.870091,35.357237,2459905.971,3.8363055,18.8534,9673.97,2762.0,729.418,5982.0,3.65,2.6,1.1,,12.06999969,5.370063096,234
85266608,True,False,5385.01,10.8583,1,160.630713,28.198626,2459608.236,5.166554853,14.3194419,1508.165599,1589.395603,483.675,6238.0,3.88506,2.079200029,1.21,,11.56999969,7.539219143,242
291016451,True,False,5448.01,12.1629,1,169.995604,8.350262,2459547.932,3.214031,6.77869,284.023,1143.0,277.019,5366.0,4.55,0.85,0.93,0.225,12.94999981,2.308501977,252
269488987,True,False,6124.01,12.3101,1,315.220171,39.39179,2459850.466,2.8474853,12.7345,260.51,1119.0,271.974,5149.0,4.53,0.84,0.87,,13.07600021,1.967754985,254
104986789,True,False,2578.01,10.5863,1,68.052102,52.252655,2459911.48,3.458001842,14.73248488,1028.485592,1444.339547,285.53,6427.8,4.35,1.266299963,1.297,-0.112,11.35000038,8.882826644,266
408137826,True,False,941.01,10.9968,1,78.300525,6.545915,2459198.275,8.5145626,6.95626,166.575,1000.0,263.386,5920.0,4.32,1.18,1.078,,12.32999992,4.189449612,267
88266880,True,False,5930.01,11.0235,1,304.053952,16.450619,2459817.983,3.7984372,11.9632,1535.28,1743.0,486.583,6289.0,3.95,1.94,1.231,,11.51799965,8.189935376,268
368713985,True,False,6562.01,11.7584,1,220.299751,-32.363352,2460071.647,4.094748465,17.36076071,2355.126509,1776.737668,758.968,5983.0,4.27,2.19878006,1.24,,12.26399994,4.556868133,275
81247877,True,False,3915.01,12.3655,1,205.488716,17.300066,2459688.492,2.2012625,13.6145,387.574,1236.0,275.019,5177.8,4.56,0.81,0.878,0.134422,13.11299992,2.005312747,285
436102447,True,False,2359.01,11.0331,1,83.818664,6.587708,2458486.393,5.1858,18.5118,1753.41,1802.0,594.265,6130.0,3.64,2.7,1.16,,11.98999977,6.432962642,285
52420398,True,False,5427.01,11.659,1,83.968375,12.925947,2459548.749,5.2374183,14.2208,403.505,1248.0,363.385,6042.1,4.28,1.27,1.123,-0.28,12.20899963,4.943905472,286
202059363,True,False,7339.01,11.2817,1,101.400549,9.190722,2459219.71,4.2470926,14.5276,1024.21,1576.0,539.085,6232.3,3.88,2.07,1.2,0.276,11.72999954,7.472098255,289
444558604,True,False,4079.01,12.1484,1,19.980843,64.538054,2459882.628,1.9872259,15.6112,1292.25,1670.0,360.76,6178.0,4.44,1.08,1.18,,12.04300022,6.017438862,294
96074951,True,False,3737.01,11.4963,1,72.427173,35.301657,2459912.416,5.5609997,15.2954,424.633,1264.0,324.005,5863.0,4.07,1.58,1.06,,12.48999977,3.892871732,299
317252733,True,False,3735.01,11.3032,1,55.590143,58.295332,2459912.078,3.352684333,11.11022066,643.2144362,1284.424838,278.597,6245.0,4.51,1.015759945,1.211,0.037,11.95699978,6.657867483,308
336691874,True,False,5322.01,12.0075,1,6.529337,14.336428,2459872.581,5.4233428,16.7305,558.524,1354.0,476.899,5790.0,4.15,1.43,1.04,,12.65100002,3.557066674,317
435851868,True,False,6120.01,12.3983,1,343.883119,22.563967,2459852.217,2.1350899,12.6797,280.388,1140.0,240.498,4894.0,4.53,0.8,0.8,,13.27900028,1.711340491,326
