ticid,observe_kpf,observe_neid,toi,tess_mag,num_pc,ra,dec,epoch,period,planet_radius,planet_insolation,planet_eqtemp,stellar_distance,stellar_teff,stellar_logg,stellar_radius,mass,mh,v_mag,vsini,t_sec_kpf,observed_in_2025b,observed_in_2026a,observed_in_2027a,observed_in_2027b
389070884,True,False,911.01,7.9771,1,262.335243,-38.645969,2458627.859,8.584182186,21.40456493,332.3230715,1088.954848,84.7758,5963.0,4.438,1.447080016,1.09,,8.501,4.435429099,120,,,,
39858507,True,False,3460.01,8.82719,1,255.920846,-30.770097,2459378.778,4.6288384,17.2704,4580.01,2291.0,205.426,5978.9,3.89,2.22,1.375,,9.43,5.352172705,120,,,,
190990336,True,False,585.01,8.9544,1,134.373008,-39.778423,2460009.617,5.547255,19.6103,1064.826173,1456.932492,157.612,6118.1,4.29,1.66,1.34,,9.881,5.509972175,120,,,,
129637892,True,False,155.01,9.0284,1,321.11498,-37.850181,2460168.814,5.4499753,5.28759,839.203,1499.0,187.131,6220.5,3.99,1.79,1.35,,9.56,7.336504473,120,,,,
469782185,True,False,1123.01,10.2398,1,292.391505,-37.304009,2458658.041,1.20928,15.1764,,,161.932,5159.8,4.23,1.27,0.96,,11.04,1.98159887,120,,,,
134404603,True,False,609.01,9.836,1,122.339812,-39.164589,2460007.604,4.9699991,21.4073,112.974,908.0,144.623,5759.0,4.3,1.19,1.03,,10.62,3.427964818,120,,,,
14091704,True,False,445.01,9.1577,1,77.323576,-36.591034,2459199.549,0.7649571,12.9538,12939.9,2971.0,176.617,6307.9,3.97,1.65,1.21,-0.38,9.58,8.455680353,120,,,,
170729775,True,False,2449.01,9.8999,1,67.984371,-34.455533,2459186.902,16.6542431,11.9082,362.642,1215.0,156.786,6054.0,4.43,1.08,1.13,,10.402,5.027232638,120,,,,
47617161,True,False,1973.01,10.7565,1,220.4268,-33.826133,2459354.671,3.9194733,,132.064,944.0,204.984,5149.0,4.35,,,,11.379,1.967754985,120,,,,
3728481,True,False,6561.01,10.1676,1,245.224446,-38.690224,2460089.817,3.1739329,15.5264,68.2123,800.0,360.452,4999.0,,3.95,,,11.2,3.432017484,120,,,,
79605791,True,False,4416.01,9.5378,1,251.780014,-39.947307,2459378.526,9.3305377,15.2895,299.515,1158.0,236.604,6238.0,3.94,1.96,1.21,,10.14,7.539219143,120,,,,
106940971,True,False,4425.01,9.3777,1,264.841449,-35.391821,2460100.181,5.412802,11.01710437,776.5799485,1346.375787,175.367,6468.0,4.22,1.473639965,1.32,,9.856492376,9.484695749,120,,,,
57093805,True,False,3344.01,10.9308,1,272.450977,-31.891545,2458678.654,3.2229781,14.58,2054.13,1875.0,248.097,5488.0,4.2,1.29,0.962,,11.55,2.571587396,120,,,,
